season,name,position,team,adp,nn
2020,O.J. Howard,TE,,205.0,o j howard
2020,Corey Davis,WR,,206.0,corey davis
2020,Denzel Mims,WR,DAL,208.0,denzel mims
2020,Laviska Shenault,WR,,209.0,laviska shenault
2020,Irv Smith,TE,,213.0,irv smith
2020,Kyle Rudolph,TE,,214.0,kyle rudolph
2020,Rashaad Penny,RB,,215.0,rashaad penny
2020,Jalen Richard,RB,LV,216.0,jalen richard
2020,Marquez Valdes-Scantling,WR,DAL,218.0,marquez valdes scantling
2020,Derek Carr,QB,,219.0,derek carr
2020,Devine Ozigbo,RB,,220.0,devine ozigbo
2020,Malcolm Brown,RB,,221.0,malcolm brown
2020,Tyrell Williams,WR,,222.0,tyrell williams
2020,Steven Sims,WR,,223.0,steven sims
2020,David Njoku,TE,LAC,224.0,david njoku
2020,Giovani Bernard,RB,,225.0,giovani bernard
2020,Danny Amendola,WR,,227.0,danny amendola
2020,Justin Herbert,QB,LAC,228.0,justin herbert
2020,Royce Freeman,RB,,229.0,royce freeman
